product_name,total_revenue
"iPhone 14 Pro",1999.98
"Dyson V11 Vacuum",499.99
"MacBook Pro 16-inch",2499.99
"Blueair Classic 480i",1199.98
"Nike Air Force 1",539.94
"Babolat Pure Drive Tennis Racket",599.97
"Samsung Galaxy Tab S8",1499.98
"North Face Down Jacket",499.98
"Dyson Supersonic Hair Dryer",399.99
"Manduka PRO Yoga Mat",479.96
"Garmin Forerunner 945",999.98
"Adidas Ultraboost Shoes",359.98
"Sony WH-1000XM4 Headphones",699.98
"Peloton Bike",1895.00
"Apple Watch Series 8",1199.97
"Roomba i7+",1599.98
"GoPro HERO10 Black",1199.97
"Ray-Ban Aviator Sunglasses",464.97
"KitchenAid Artisan Stand Mixer",499.99
"Hyperice Hypervolt Massager",349.00
"Nintendo Switch",899.97
"Philips Airfryer XXL",399.98
"Garmin Edge 530",599.98
"Samsung QLED 4K TV",1199.99
"Eufy RoboVac 11S",659.97
"Nike Metcon 6",389.97
"HP Spectre x360 Laptop",1599.99
"De'Longhi Magnifica Espresso Machine",899.99
"Apple AirPods Pro",499.98
"Dyson Pure Cool Link",499.99
"LG OLED TV",2599.98
"Garmin Fenix 6X Pro",999.99
"Bose SoundLink Revolve+ Speaker",899.97
"Vitamix Explorian Blender",349.99
"Canon EOS R5 Camera",3899.99
"Shark IQ Robot Vacuum",699.98
"Bowflex SelectTech 552 Dumbbells",399.99
"Google Nest Hub Max",459.98
"Fitbit Versa 3",689.85
"Breville Smart Grill",599.90
"Apple iPad Air",1199.98
"Sony PlayStation 5",499.99
"Dyson Supersonic Hair Dryer",799.98
"Microsoft Surface Laptop 4",1299.99
"Samsung Odyssey G9 Gaming Monitor",1499.99
"Apple AirPods Max",549.00
"Cuisinart Coffee Center",399.90
"Sony WH-1000XM4 Headphones",349.99
"Ninja Foodi Pressure Cooker",399.98
"Google Pixel 6 Pro",899.99
"Breville Nespresso Creatista Plus",499.95
"Apple MacBook Air",1199.99
"Samsung Odyssey G7 Gaming Monitor",699.99
"Bowflex SelectTech 1090 Adjustable Dumbbells",699.99
"Google Pixelbook Go",649.99
"Dyson V8 Absolute",399.99
"Polar Vantage V2",499.95
"Sonos Beam Soundbar",399.00
"Anova Precision Cooker",398.00
"Adidas Ultraboost Running Shoes",359.98
"GoPro HERO9 Black",449.99
"Apple TV 4K",358.00
"Yeti Tundra Haul Portable Wheeled Cooler",399.99
"KitchenAid Stand Mixer",379.99
"Canon EOS Rebel T7i DSLR Camera",749.99
"Keurig K-Elite Coffee Maker",339.98
"YETI Tundra 65 Cooler",349.99
"Apple MacBook Pro 16-inch",2399.00
"iRobot Braava Jet M6",449.99
"Garmin Forerunner 945",599.99
"Philips Sonicare DiamondClean Toothbrush",459.98
"Anova Precision Oven",599.00
